№,Символ,,,,,,,,,,,,,,,,,K,L,,M,,,N,,,,O,,,,P,,,Q,Металлы,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s,s,p,s,p,d,s,p,d,f,s,p,d,f,s,p,d,s,,,,,,,,,,,,,,,,,,
,,Название,Латинское название,Как читается,Спектр,"
Период","
Группа","Атомная масса
(г/моль)","Плотность,
г/см³
(при 20 °C)","Температура 
плавления
(°C)","Температура 
кипения 
(°C)","Удельное 
электрическое 
сопротивление","Электрическая 
проводимость","Магнитная 
проницаемость",p,n,e,1,2,,3,,,4,,,,5,,,,6,,,7,Металлы,Щелочные,Щелочноземельные,Переходные,Парамагнетики,Ферримагнетики,Ферромагнетики,Лантаноиды,Актиноиды,Диамагнетики,Полуметаллы,Неметаллы,Антиферромагнетики,Пниктогены,Халькогены,Галогены,Инертный газ,Редкоземельные
1,H,Водород,Hydrogenium,Аш,,1,1,"1,00794","0,084","-259,1","-252,9",,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2,He,Гелий,Helium,Гелий,,1,18,"4,002602","0,17","-272,2","-268,9",,,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,Li,Литий,Lithium,Литий,,2,1,"6,941","0,53","180,5",1317,,,,3,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Be,Бериллий,Beryllium,Бериллий,,2,2,"9,012182","1,85",1278,2970,,,,4,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B,Бор,Borum,Бор,,2,13,"10,811","2,46",2300,2550,,,,5,6,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,C,Углерод,Carboneum,Цэ,,2,14,"12,0107","3,51",3550,4827,,,,6,6,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,N,Азот,Nitrogenium,Эн,,2,15,"14,0067","1,17 г/л","-209,9","-195,8",,,,7,7,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
8,O,Кислород,Oxygenium,О,,2,16,"15,9994","1,33 г/л","-218,4","-182,9",,,,8,8,8,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9,F,Фтор,Fluorum,Фтор,,2,17,"18,9984032","1,58 г/л","-219,6","-188,1",,,,9,10,9,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10,Ne,Неон,Neon,Неон,,2,18,"20,1797","0,84 г/л","-248,7","-246,1",,,,10,10,10,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
